a অ
rvU ৰ্বূ
rBU ৰ্ভূ
rbhU ৰ্ভূ
rmU ৰ্মূ
rYU ৰ্যূ
rrU ৰ্ৰূ
rlU ৰ্লূ
rLU ৰ্লূ
rWU ৰ্ৱূ
rsU ৰ্সূ
rshU ৰ্শূ
rSU ৰ্শূ
rShU ৰ্ষূ
rhU ৰ্হূ
r~hU ৰ্হূ
ryU ৰ্য়ূ
rYxU ৰ্য়ূ
rDxU ৰ্ড়ূ
rDhxU ৰ্ঢ়ূ
rQU ৰ্ক্ষূ
rRU ৰ্রূ
rkoo ৰ্কূ
rkhoo ৰ্খূ
rKoo ৰ্খূ
rgoo ৰ্গূ
rghoo ৰ্ঘূ
rGoo ৰ্ঘূ
r~goo ৰ্ঙূ
rcoo ৰ্চূ
rchoo ৰ্চূ
rCoo ৰ্ছূ
rChoo ৰ্ছূ
rjoo ৰ্জূ
rJoo ৰ্ঝূ
rjhoo ৰ্ঝূ
r~joo ৰ্ঞূ
rToo ৰ্টূ
rThoo ৰ্ঠূ
rDoo ৰ্ডূ
rDhoo ৰ্ঢূ
rNoo ৰ্ণূ
rtoo ৰ্তূ
rthoo ৰ্থূ
rdoo ৰ্দূ
rdhoo ৰ্ধূ
rnoo ৰ্নূ
rpoo ৰ্পূ
rPoo ৰ্ফূ
rphoo ৰ্ফূ
rboo ৰ্বূ
rvoo ৰ্বূ
rBoo ৰ্ভূ
rbhoo ৰ্ভূ
rmoo ৰ্মূ
rYoo ৰ্যূ
rroo ৰ্ৰূ
rloo ৰ্লূ
rLoo ৰ্লূ
rWoo ৰ্ৱূ
rsoo ৰ্সূ
rshoo ৰ্শূ
rSoo ৰ্শূ
rShoo ৰ্ষূ
rhoo ৰ্হূ
r~hoo ৰ্হূ
ryoo ৰ্য়ূ
rYxoo ৰ্য়ূ
rDxoo ৰ্ড়ূ
rDhxoo ৰ্ঢ়ূ
rQoo ৰ্ক্ষূ
rRoo ৰ্রূ
rkX ৰ্কৃ
rkhX ৰ্খৃ
rKX ৰ্খৃ
rgX ৰ্গৃ
rghX ৰ্ঘৃ
rGX ৰ্ঘৃ
r~gX ৰ্ঙৃ
rcX ৰ্চৃ
rchX ৰ্চৃ
